Tipo de contrato,Procedimiento de adjudicación,Criterios de adjudicación,Entidad impulsora,Duración del contrato,Importe de adjudicación,Presupuesto sin IVA,¿Caracter plurianual?,CPV,División en lotes,Nº de licitadores presentados,¿UTE?
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,76033.0,76033.06,0,71,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,50000.0,50000.0,1,85,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,242171.99999999997,345960.0,1,85,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,3-6 años,278614.88,278615.0,1,30,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,463432.56,545400.0,1,55,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,311740.0,513834.71,1,22,1,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,16916.578,24166.54,0,30,1,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,45123.967,64462.81,0,30,1,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,173000.0,173077.0,1,22,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,274793.75,314050.0,1,51,1,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,21828.0,44628.1,0,50,1,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,47618.21,55082.78,0,45,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,66115.7,80000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,59504.13,72000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,60446.0,62863.84,0,22,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,46280.99,66115.7,1,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,46020.659999999996,65743.8,0,44,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,20306.0,57355.0,0,39,1,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,92458.95,95661.32,0,45,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,59504.13,72000.0,1,09,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,18000.0,54545.45,1,51,1,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,28430.0,36008.26,0,51,1,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,1-3 años,60000.0,72600.0,1,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,77013.7,82644.63,0,35,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,Menos de 1 año,130165.287,185950.41,0,34,1,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,37190.08,45000.0,0,30,1,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,74891.37,110092.43,1,45,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,Menos de 1 año,24145.0,27000.0,0,30,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,18958.0,19716.32,0,22,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,17366.0,18060.64,0,22,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,161157.02,194999.99,1,30,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,316702.73,495700.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,35500.0,58000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,100594.05,109460.34,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,54702.0,65905.79,1,90,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,162000.0,200000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,57600.0,57851.24,1,90,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,61200.0,68000.0,1,90,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,116000.0,200000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,41658.399999999994,59512.0,0,90,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,50950.0,66000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,94090.83,134607.77,1,79,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Otros,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,114412.35,138438.94,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,117660.25,149125.79,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,39504.0,66000.0,0,79,1,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,585546.62,874660.16,1,45,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,119000.0,119261.98,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,120640.0,208250.0,1,71,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,145542.36,156498.09,1,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,30972.0,53400.0,1,71,0,Menos de 5 licitadores,1
Obras,Abierto,Mejor precio,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,201497.86,222354.73,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,120640.0,208000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,27500.0,59900.0,0,79,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,99168.23,109435.0,1,45,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,62197.78599999999,88853.98,0,38,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,34877.53,38000.0,1,90,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,31933.42,38639.44,0,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,144588.5,206555.0,1,38,1,5-10 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,243356.0,310000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,216000.0,247933.88,1,50,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,346630.55,455434.9,0,45,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,68595.07,83000.03,1,72,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,44121.68,73720.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,232650.0,235000.0,0,63,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,206611.57,250000.0,0,63,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",1-3 años,31551.24,41322.32,1,77,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,43400.0,70000.0,0,71,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,144408.52,158849.37,0,45,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Desarrollo Económico, Sostenibilidad y Medio Ambiente",Menos de 1 año,96431.93,114120.63,1,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,152500.0,164698.87,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,119700.0,126000.0,1,85,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,31849.999999999996,45500.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,255332.36,309869.37,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,57566.0,57851.24,0,79,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,75563.28,105300.0,0,55,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,59999.99,72599.99,0,79,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,223464.13,321300.0,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,143154.0,155500.0,0,63,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,50000.0,55000.0,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,19980.0,59940.0,0,85,1,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,"Igualdad, Justicia y Políticas Sociales",1-3 años,181818.18,200000.0,1,60,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,45300.0,45350.0,0,73,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,268595.04,268595.05,1,60,1,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,172937.48,194596.02,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,619834.71,750000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,68750.0,82500.0,0,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,33333.45,67750.85,0,39,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,41947.5,52500.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,190000.0,223196.65,0,79,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,594325.94,705986.31,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,90606.59999999999,129438.0,0,75,1,5-10 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,110720.0,124000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,367200.0,367768.6,0,85,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,35244.9,35245.0,0,32,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,"Igualdad, Justicia y Políticas Sociales",3-6 años,60143.22,75683.42,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,20000.0,24000.0,0,85,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Salud,Menos de 1 año,102395.0,113520.0,0,85,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,41850.0,60000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,334158.94,468995.0,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,41400.0,50094.0,0,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Educación,Menos de 1 año,113373.5,126655.0,0,37,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,374400.0,374480.0,0,85,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,26776.0,29752.0,0,18,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,24793.47,30000.0,0,98,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Turismo, Comercio y Consumo",Menos de 1 año,132000.0,225000.0,0,72,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,47362.64,59695.0,0,39,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,216387.82,261829.26,0,90,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,31436.0,82644.63,0,32,1,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Educación,Menos de 1 año,121166.94,194000.0,0,39,1,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Educación,Menos de 1 año,705579.59,809352.61,0,45,0,5-10 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,27600.0,40000.0,0,71,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Seguridad,1-3 años,99173.55,120000.0,1,31,0,5-10 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Salud,Menos de 1 año,60000.0,72600.0,0,98,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Educación,Menos de 1 año,39200.0,40000.0,0,79,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,89623.17,90534.25,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,300000.0,300000.0,1,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,41820.5,52500.0,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,105888.25,128124.78,0,48,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,88200.0,126000.0,0,45,0,5-10 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,118921.43,148750.75,0,45,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,41322.31,50000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Educación,1-3 años,25000.0,45000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,131000.0,198347.11,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,22211.0,26000.0,0,79,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,81989.76,92069.01,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Salud,Menos de 1 año,42000.0,60000.0,0,98,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Turismo, Comercio y Consumo",Menos de 1 año,41000.0,50000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Salud,Menos de 1 año,24710.74,24793.39,0,79,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Salud,1-3 años,82645.0,100000.0,0,22,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Planificación Territorial, Vivienda y Transportes",1-3 años,32300.0,38605.78,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,47570.74,61983.47,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,413223.14,500000.0,1,50,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,55000.0,60000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,21694.218,30991.74,1,77,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,Educación,1-3 años,35000.0,40000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,36856.0,47700.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,39457.04,47700.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,27679.48,47700.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,39457.04,47700.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,60000.0,72600.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,1-3 años,90000.0,100000.0,0,73,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,32900.0,33057.85,0,80,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,154999.0,155000.0,0,63,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,26700.0,29752.07,0,92,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,"Planificación Territorial, Vivienda y Transportes",1-3 años,83902.08,101521.52,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Salud,3-6 años,231724.0,240000.0,0,85,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,59188.55,71615.15,0,42,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,69000.0,78512.4,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,90909.09,110000.0,1,92,0,5-10 licitadores,0
Suministros,Abierto,Mejor precio,Seguridad,1-3 años,360000.0,435600.0,0,30,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,370291.04,661157.03,1,60,0,5-10 licitadores,0
Obras,Abierto,Mejor precio,Educación,Menos de 1 año,617243.63,759521.47,0,45,0,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Educación,Menos de 1 año,349943.49,428727.02,0,45,0,5-10 licitadores,1
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,28541.7,57851.24,0,50,0,5-10 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,59800.0,62192.0,0,22,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,215000.0,360000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,Menos de 1 año,123966.94,150000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,153000.0,166346.16,0,85,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,Menos de 1 año,25050.0,82644.63,0,39,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,35000.0,50000.0,0,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,50800.0,55000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,39000.0,40000.0,0,71,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Educación,Menos de 1 año,204227.0,324839.7,0,39,0,5-10 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Salud,Menos de 1 año,59000.0,60000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Educación,1-3 años,360000.0,600000.0,1,71,0,15-20 licitadores,1
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,46209.93,93388.42,0,34,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Otros,Salud,1-3 años,104178.0,108345.12,1,33,0,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Educación,Menos de 1 año,212192.08,288026.44,0,45,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Salud,1-3 años,582801.92,606114.0,1,33,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,107217.74,170000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,83150.4,83150.42,1,50,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,Educación,Menos de 1 año,601089.43,739593.63,0,45,0,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Educación,Menos de 1 año,318218.46,342220.31,0,45,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Educación,Menos de 1 año,30545.0,46190.0,0,39,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,Menos de 1 año,15200.0,43140.5,0,30,1,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,29000.0,33884.3,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado con Publicidad,Mejor precio,Educación,Menos de 1 año,69900.0,82644.63,0,38,0,Menos de 5 licitadores,0
Servicios,Negociado con Publicidad,Mejor precio,Educación,Menos de 1 año,67750.78,79800.68,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,34500.0,40000.0,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Salud,Menos de 1 año,50000.0,60500.0,0,48,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,125400.0,132000.0,0,79,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,130360.0,137100.0,0,79,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,170100.0,171690.0,1,80,0,Menos de 5 licitadores,0
